type,content
0,Who is your secret crush?
0,What is the most disgusting thing you've ever done?
0,What is your biggest turn off in a partner?
0,What is one embarrassing fact I should know about you?
1,Yell out the first word that comes to your mind right now
1,Say the alphabet backwards in 15 seconds
1,Set your cell phone language to Chinese for the next 10 minutes
1,Do 10 pushups 
0,What animal are you scared of?
1,Hold your breath for 10 seconds
1,Act like a chicken for 1 minute
1,Moo like a cow as loud as you can
0,At what age did you learn to ride a bike?
0,Do you know how to swim?
0,If you could be invisible; what is the first thing you would do?
0,What is a secret you kept from your parents?
0,What is the most embarrassing music you listen to?
0,What is one thing you wish you could change about yourself?
0,Who is your secret crush?
0,Who is the last person you creeped on social media?
0,When was the last time you wet the bed?
0,If a genie granted you three wishes; what would you ask for?
0,What is your biggest regret?
0,Where is the weirdest place you've ever gone to the bathroom?
0,What is the most food you've ever eaten in a single sitting?
0,Which player would survive a zombie apocalypse and which would be the first to go?
0,Reveal all the details of your first kiss.
0,What excuse have you used before to get out plans with a friend?
0,What's the longest you've ever slept?
0,Read the last thing you sent your best friend or significant other out loud.
0,What's your biggest pet peeve?
0,When was the last time you lied?
0,What five things would you bring to a desert island?
0,What's the most embarrassing thing you ever did on a date?
0,What is the craziest pickup line you've ever used?
0,What animal do you think you most look like?
0,How many selfies do you take a day?
0,What is one thing you would stand in line for an hour for?
0,When was the last time you cried?
0,What's the longest time you've ever gone without showering?
0,What's the most embarrassing top-played song on your phone?
0,What was your favorite childhood show?
0,If you could be a fictional character for a day; who would you choose?
0,What's your biggest fear?
0,What's one silly thing you can't live without?
0,What is the weirdest trend you've ever participated in?
0,If you could only listen to one song for the rest of your life; what would you choose?
0,What person do you text the most?
0,Have you ever been fired from a job?
0,What is an instant deal breaker in a potential love interest?
0,If you could only eat one thing for the rest of your life; what would you choose?
0,What is the biggest lie you ever told your parents?
0,What's the worst physical pain you've ever experienced?
0,Which player knows you the best?
0,What's your favorite part of your body?
0,What's the weirdest thing you've ever eaten?
0,Have you ever gone skinny dipping?
0,Tell us about the worst date you've ever been on?
0,Who is your celebrity crush?
0,What's the strangest dream you've ever had?
0,What are the top three things you look for in a boyfriend/girlfriend?
0,What is your worst habit?
0,How many stuffed animals do you own?
0,What is your biggest insecurity?
Do a free-style rap for the next minute.
1,Let another person post a status on your behalf.
1,Hand over your phone to another player who can send a single text saying anything they want to anyone they want.
1,Let the other players go through your phone for one minute.
1,Smell another player's armpit.
1,Smell another player's bare foot.
1,Eat a bite of a banana peel.
1,Do an impression of another player until someone can figure out who it is.
1,Say pickles at the end of every sentence you say until it's your turn again.
1,Imitate a YouTube star until another player guesses who you're portraying.
1,Act like a chicken until your next turn.
1,Talk in a British accent until your next turn.
1,Call a friend, pretend it's their birthday, and sing them Happy Birthday to You.
1,Name a famous person that looks like each player in the room.
1,Show us your best dance moves.
1,Eat a packet of hot sauce straight.
1,Let another person draw a tattoo on your back with a permanent marker.
1,Put on a blindfold and touch the other players' faces until you can figure out who's who.
1,Serenade the person to your right for a full minute.
1,Do 20 squats.
1,Let the other players redo your hairstyle.
1,Gulp down a raw egg.
1,Dump out your purse, backpack, or pockets and do a show and tell of what's inside.
1,Let the player to your right redo your makeup.
1,Do a prank call on one of your family members.
1,Let another player create a hat out of toilet paper — and you've got to wear it for the rest of the game.
1,Do a plank for a full minute.
1,Let someone give you a wedgie.
1,Put five cubes in your mouth (you can't chew them, you just have to let them melt—brrr).
1,Bark like a dog.
1,Draw your favorite movie and have the other person guess it (Pictionary-style).
1,Repeat everything the person to your right says until your next turn.
1,Demonstrate how you style your hair in the mirror (without actually using the mirror).
1,Play air guitar for one minute.
1,Empty a glass of cold water onto your head outside.
1,Lay on the floor and act like a sizzling piece of bacon.
1,In the next ten minutes; find a way to scare another player and make it a surprise.
1,Lick a bar of soap.
1,Eat a teaspoon of mustard.
